Group	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	a16
d	2	1	2	1	1	1	2	1	2	2	2	1	1	1	2	2
d	2	1	2	1	2	2	1	1	1	1	1	1	1	1	1	2
d	2	1	1	1	2	2	2	1	1	2	2	1	1	2	1	2
d	2	2	2	1	1	2	2	2	2	2	1	1	1	1	1	2
d	2	1	1	1	2	2	1	1	1	1	2	2	1	2	1	2
d	2	1	2	1	2	2	2	1	1	1	2	1	1	2	1	2
d	2	2	2	1	1	1	1	2	2	1	2	1	1	1	2	2
r	1	2	1	2	2	2	1	1	1	1	1	2	2	2	1	2
d	1	1	2	1	1	1	2	2	2	2	1	1	1	1	2	2
d	2	1	2	1	1	1	2	2	2	1	2	1	1	1	2	2
r	2	2	2	2	2	1	2	1	1	1	1	2	2	2	1	2
d	1	2	2	1	1	1	1	2	2	2	2	1	1	1	2	2
r	1	1	1	2	2	2	1	1	1	1	1	2	2	2	1	1
r	1	1	1	2	2	2	1	1	1	2	1	2	1	2	1	2
d	1	1	2	1	1	2	1	2	2	2	1	1	1	2	1	2
r	1	1	1	2	2	2	1	1	1	2	1	2	2	2	1	2
r	1	1	1	2	2	2	1	1	1	2	1	2	2	2	1	1
r	1	2	1	2	2	2	1	1	1	2	2	2	2	1	1	2
d	1	1	2	1	1	2	2	2	2	2	1	1	1	2	1	2
d	2	1	2	1	1	2	2	2	2	1	1	1	1	1	2	2
r	1	1	1	2	1	1	2	2	2	2	1	1	2	2	1	2
r	1	1	1	2	2	2	2	2	2	2	1	2	2	2	1	2
r	1	2	1	2	2	2	1	1	1	1	1	2	2	2	1	2
d	1	1	1	1	1	1	2	2	2	2	1	2	2	2	2	2
r	1	2	1	2	2	2	1	1	1	2	2	2	2	2	1	2
d	1	1	2	1	1	1	2	2	2	2	1	1	2	1	2	2
r	2	2	1	2	2	2	1	1	1	2	1	2	2	2	1	2
d	1	2	2	1	1	2	1	2	2	2	2	1	2	1	2	2
d	1	1	2	1	1	2	2	2	2	2	2	1	2	2	1	2
r	1	2	1	2	2	2	1	1	1	1	1	2	2	2	1	1
r	2	2	1	2	2	2	2	1	1	1	1	2	2	2	1	1
r	1	2	1	2	2	2	1	1	1	2	1	2	2	2	1	1
d	1	2	1	1	2	2	1	1	1	1	1	2	2	2	2	2
d	1	1	1	1	2	2	2	1	1	1	1	2	2	2	1	2
d	1	2	2	1	2	2	2	1	1	1	2	2	2	2	1	2
r	1	2	1	2	2	2	2	1	1	1	1	2	2	2	1	2
r	2	1	2	2	2	2	2	2	1	2	1	2	1	2	2	2
r	2	1	2	2	2	2	2	2	1	2	2	2	1	2	2	2
d	2	1	2	1	1	1	2	2	2	2	2	1	1	2	1	2
d	1	1	1	1	2	2	1	1	1	2	2	2	2	2	1	2
d	1	2	2	1	1	1	2	2	2	2	1	1	1	1	2	2
r	1	1	2	2	1	1	2	2	2	2	1	1	1	2	2	2
d	2	1	2	1	1	1	2	2	2	2	1	1	1	1	2	2
d	1	1	2	1	1	1	2	2	2	2	2	1	1	1	2	2
d	1	1	2	1	1	1	2	2	2	2	2	1	1	1	2	2
d	1	2	2	1	1	1	2	2	2	2	2	1	1	1	2	2
d	2	1	2	1	1	1	2	2	2	1	1	1	1	1	2	2
d	1	1	1	1	1	2	2	2	2	1	2	1	1	2	2	2
d	1	1	2	1	1	1	2	2	2	1	1	1	1	1	2	2
d	1	1	2	1	1	1	2	2	2	1	1	1	1	2	2	2
d	2	2	2	1	1	1	2	2	2	1	1	1	1	1	2	2
d	2	1	2	1	1	2	2	2	2	2	2	1	1	1	2	2
d	2	1	2	1	1	1	2	2	2	2	1	1	1	1	2	2
r	1	1	2	2	2	2	2	1	1	1	1	2	2	2	1	2
d	1	1	2	1	1	2	2	2	2	2	1	2	1	1	1	2
r	1	1	1	2	2	2	1	1	1	2	1	2	1	2	1	2
d	2	2	2	1	1	1	2	2	2	2	2	1	1	1	1	2
d	1	1	2	1	1	2	2	2	2	1	1	1	1	1	2	2
r	1	2	1	2	2	2	1	1	1	2	1	2	2	2	1	2
d	1	1	2	1	1	1	2	2	2	1	2	1	1	1	2	2
d	1	2	2	1	1	2	1	2	2	1	2	1	2	1	2	2
r	2	2	1	2	2	2	1	1	1	2	1	2	2	2	1	2
r	1	2	1	2	2	2	1	1	1	2	1	2	2	2	1	1
d	1	2	2	1	1	1	1	2	2	1	2	1	1	2	2	2
r	1	1	1	2	2	1	1	1	1	1	1	2	2	2	1	2
d	1	1	2	1	1	2	2	2	2	1	2	1	1	2	2	2
r	1	2	2	2	2	2	2	1	2	2	1	2	2	2	1	2
r	1	2	1	2	2	2	1	1	1	1	1	2	2	2	1	2
r	1	2	1	2	2	2	1	1	2	2	1	2	2	2	1	2
r	1	2	1	2	2	2	1	1	1	2	1	2	2	2	1	2
r	1	1	1	2	2	2	1	1	1	2	1	2	1	2	1	2
d	1	1	2	1	1	1	2	2	2	1	1	1	1	1	2	2
d	2	1	2	1	1	2	2	2	1	1	1	2	2	1	1	2
r	1	1	1	2	2	2	2	1	1	2	1	1	1	2	2	2
d	2	1	2	1	1	1	2	2	2	2	2	1	1	2	2	2
d	2	1	2	1	1	1	1	2	2	2	1	1	1	1	2	2
d	2	1	2	1	1	1	2	2	2	2	2	1	1	1	2	2
r	1	2	1	2	2	2	1	1	1	1	1	2	2	2	1	1
r	1	2	1	2	2	2	1	1	1	1	1	2	2	2	1	1
d	2	2	2	1	1	2	2	2	2	1	1	1	1	1	2	2
r	1	2	1	2	2	2	1	1	1	1	1	2	2	2	1	2
d	2	1	2	1	1	1	2	2	2	2	1	1	1	1	1	2
d	2	1	2	1	1	1	2	2	2	2	1	1	1	2	2	2
r	1	1	1	2	2	1	1	1	1	1	1	2	1	2	1	1
d	1	1	2	1	1	1	2	2	2	1	2	1	1	1	2	2
d	2	1	2	1	1	1	2	2	2	1	1	1	1	1	1	2
d	2	1	2	1	1	1	2	2	2	2	1	1	1	1	1	2
d	2	1	2	1	1	1	2	2	2	2	1	1	1	1	1	2
r	1	1	1	2	2	2	1	1	1	2	1	2	1	2	1	2
r	2	1	1	1	1	1	2	2	2	2	1	1	1	2	1	2
d	2	1	2	1	1	1	2	2	2	1	1	1	1	1	1	2
d	2	2	2	1	1	1	2	2	2	1	1	1	1	1	2	2
r	2	1	1	2	2	1	2	1	1	2	1	1	1	2	2	2
r	1	1	1	2	2	2	1	1	1	1	1	2	2	2	2	1
r	1	1	2	2	2	2	2	2	1	2	1	1	1	2	1	2
r	1	1	1	2	2	2	1	1	1	1	1	2	2	2	1	2
r	1	1	1	2	2	2	1	1	1	2	1	2	2	2	1	1
d	1	1	2	1	1	1	2	2	2	2	1	1	1	2	1	2
r	1	1	1	2	2	2	1	1	1	1	1	2	2	2	1	2
d	1	1	2	1	1	2	2	2	2	2	2	1	1	1	2	2
d	2	2	2	1	2	2	1	2	1	2	2	1	2	2	2	2
d	2	1	2	1	1	2	2	2	1	2	2	1	2	2	2	2
d	2	2	2	1	1	2	2	2	2	2	2	1	2	2	2	2
r	1	1	2	2	2	2	1	1	1	2	1	2	2	2	2	2
d	1	2	1	1	1	1	2	2	2	2	2	1	1	1	2	2
d	1	2	2	1	1	2	2	2	2	2	1	1	2	2	2	2
r	1	1	1	2	2	1	2	2	2	2	1	2	2	2	1	2
r	1	1	1	2	2	2	2	1	1	2	1	2	2	2	1	2
r	1	1	1	2	2	2	1	1	1	1	1	2	2	2	1	1
r	1	1	1	2	2	2	1	1	1	2	1	2	2	2	1	1
r	1	1	1	2	2	2	1	1	1	1	1	2	2	2	1	1
r	1	1	1	2	2	2	1	1	1	2	1	2	2	2	1	1
d	2	1	1	1	1	2	2	2	2	2	1	1	1	2	2	2
r	1	1	1	2	2	2	1	1	1	2	1	2	2	2	2	1
d	1	1	2	1	1	2	2	2	2	2	1	1	2	1	1	2
d	2	2	2	1	1	1	2	2	2	2	1	1	1	1	2	2
r	1	2	2	2	2	2	1	1	1	2	1	2	2	2	1	2
r	1	2	1	2	2	2	2	2	1	1	2	2	2	2	2	2
d	1	1	1	1	1	2	1	2	2	1	2	2	2	2	2	1
d	2	1	1	1	1	1	2	2	2	2	1	1	1	1	2	2
d	1	2	2	1	1	2	1	2	2	2	1	1	2	2	1	2
d	2	2	2	1	1	1	2	2	2	2	1	1	2	1	1	2
r	1	2	1	2	2	2	1	1	1	1	2	2	2	2	1	1
d	2	2	1	2	1	1	2	2	2	1	2	1	1	2	1	2
r	1	2	1	2	2	2	1	1	1	1	1	2	2	2	1	2
d	2	2	2	1	1	1	2	2	2	1	2	1	1	1	1	2
r	1	2	1	2	2	2	1	1	1	2	1	2	2	2	1	1
d	1	1	2	1	1	1	2	2	2	1	1	1	1	1	2	2
d	2	1	2	1	1	1	2	2	2	1	1	1	1	1	2	2
d	2	1	2	1	1	1	2	2	2	2	1	1	1	2	2	2
r	2	1	1	2	2	2	1	1	1	1	2	2	2	2	1	1
r	1	1	1	2	2	2	1	1	1	2	2	2	1	2	1	2
r	1	1	1	2	2	1	2	1	2	2	1	1	1	2	1	2
d	1	1	2	1	1	1	2	2	2	2	2	1	1	1	2	2
r	1	1	1	2	2	2	2	1	1	2	1	2	1	2	2	2
r	1	1	1	2	2	2	1	1	1	2	1	2	2	2	1	2
r	2	1	1	2	2	2	1	1	1	2	1	2	2	2	1	1
r	1	2	2	2	2	2	2	2	2	1	1	2	2	2	1	2
d	1	2	1	1	1	2	2	1	2	1	2	1	1	1	2	2
r	1	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2
r	1	1	2	2	2	2	2	1	1	2	2	2	2	2	1	2
r	2	1	2	2	1	1	1	2	2	2	1	1	1	2	2	2
r	1	1	1	2	2	2	1	1	1	1	1	2	2	2	1	1
r	1	1	1	2	2	2	1	1	1	1	1	2	2	2	1	1
d	2	1	2	1	1	2	2	2	2	2	1	1	2	1	1	2
d	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	2
r	2	2	1	2	2	2	1	1	1	2	2	1	2	1	1	1
r	2	2	1	2	2	2	1	1	1	1	2	1	2	2	1	2
d	1	2	1	1	2	2	1	1	1	2	2	1	2	2	1	1
d	1	2	2	1	1	2	2	2	1	2	1	1	1	1	2	2
r	1	2	1	2	2	2	1	1	1	1	1	1	2	2	1	2
r	1	2	1	2	2	2	1	1	1	1	1	2	2	2	1	2
d	1	2	1	2	2	2	1	1	1	1	2	2	1	2	1	1
r	1	1	1	2	2	2	1	1	1	1	1	2	2	2	1	2
r	1	1	1	2	2	2	1	1	1	1	1	2	2	2	1	2
d	2	2	2	1	2	2	1	2	2	2	2	1	1	1	1	2
d	2	2	2	2	2	2	1	1	1	1	2	2	2	2	1	2
d	2	2	1	1	2	2	1	1	1	1	2	2	2	2	2	1
d	2	2	1	1	1	1	1	2	2	1	2	1	1	1	2	1
r	2	2	1	2	2	2	1	1	1	1	2	2	2	2	1	2
d	2	2	2	1	2	2	1	2	1	1	2	1	2	1	2	2
d	1	2	2	1	2	2	1	2	1	1	1	1	1	1	1	2
r	1	2	1	2	2	2	1	1	1	2	2	2	2	2	1	1
r	2	2	1	2	2	2	1	1	1	2	1	2	2	2	1	2
r	1	1	1	2	2	2	1	1	1	1	1	2	2	2	1	2
d	2	1	2	1	2	2	1	1	2	2	1	1	2	2	1	2
d	1	1	1	2	2	2	1	1	1	1	2	2	2	2	1	1
r	1	1	1	2	2	2	1	1	1	1	1	2	2	2	1	1
r	1	1	1	2	2	2	1	1	1	1	2	2	2	2	1	2
d	2	1	2	1	1	2	2	2	2	2	2	1	1	1	1	2
r	1	1	1	2	2	2	1	1	1	2	1	2	2	2	1	2
d	2	2	2	1	1	1	2	2	2	1	1	1	1	1	1	2
r	2	2	1	2	2	2	1	1	1	2	1	1	2	2	1	2
d	2	2	2	1	1	1	2	2	2	2	2	1	2	1	1	2
d	2	2	2	1	1	1	2	2	1	2	1	1	1	1	1	2
d	2	2	2	1	1	1	2	2	2	1	1	1	1	1	1	2
r	2	2	2	2	2	2	2	2	1	2	1	1	2	2	1	2
d	1	2	2	1	2	2	2	2	1	1	2	1	2	1	2	2
d	1	1	2	1	1	2	2	2	2	1	2	1	1	1	2	2
d	1	2	2	1	1	2	2	2	2	1	2	1	1	2	2	2
d	2	1	2	1	1	1	2	2	2	2	1	1	1	1	2	2
r	1	1	1	2	2	2	2	2	1	2	1	2	2	2	1	2
r	1	1	2	2	2	2	1	1	2	2	1	2	2	2	1	2
d	1	1	2	1	1	1	2	2	2	2	1	1	1	1	1	2
